enquiry_id,enquiry_date,planning_area,lead_source,storage_size_band,customer_type,quoted_monthly_price_sgd,converted,churned
ENQ-03121,2025-11-20,Sungei Kadut,Walk-in,Small,Household,176.6,0,0
ENQ-03122,2025-05-11,Singapore River,Walk-in,Locker,E-commerce,102.38,0,0
ENQ-03123,2025-09-20,Seletar,Organic,Medium,Student/Expats,327.47,0,0
ENQ-03124,2025-07-15,Pasir Ris,Google Search,Medium,Household,266.81,0,0
ENQ-03125,2025-08-16,Serangoon,Referral,Small,SME,203.14,1,0
ENQ-03126,2025-07-09,Seletar,Organic,Medium,Relocation,267.49,0,0
ENQ-03127,2025-01-30,Kallang,Partner,Medium,Household,278.18,0,0
ENQ-03128,2025-06-20,Queenstown,Organic,Medium,Student/Expats,316.32,0,0
ENQ-03129,2025-06-28,Pasir Ris,Meta Ads,Medium,E-commerce,293.75,0,0
ENQ-03130,2025-08-20,Downtown Core,Walk-in,Small,SME,205.18,0,0
ENQ-03131,2025-07-19,Pasir Ris,Organic,Small,SME,194.66,0,0
ENQ-03132,2025-05-22,Marina South,Referral,Small,Household,184.8,0,0
ENQ-03133,2025-03-17,Queenstown,Meta Ads,Small,Household,198.25,0,0
ENQ-03134,2025-06-16,Clementi,Meta Ads,Medium,Household,317.15,0,0
ENQ-03135,2025-04-21,Seletar,Referral,Small,Household,164.09,0,0
ENQ-03136,2025-04-25,Boon Lay,Organic,Medium,Student/Expats,326.26,1,0
ENQ-03137,2025-12-10,Marina South,Organic,Small,Household,198.51,0,0
ENQ-03138,2025-08-05,Punggol,Google Search,Small,Household,185.52,0,0
ENQ-03139,2025-02-10,Singapore River,Meta Ads,Small,Household,190.98,0,0
ENQ-03140,2025-03-17,Pioneer,Google Search,Small,Household,178.71,0,0
ENQ-03141,2025-12-22,River Valley,Organic,Medium,SME,313.63,0,0
ENQ-03142,2025-03-04,Jurong West,Meta Ads,Medium,Household,272.77,0,0
ENQ-03143,2025-12-11,Simpang,Referral,Medium,SME,322.0,1,0
ENQ-03144,2025-05-03,Downtown Core,Meta Ads,Small,Student/Expats,203.88,0,0
ENQ-03145,2025-06-18,Bukit Timah,Organic,Small,Household,206.05,1,0
ENQ-03146,2025-10-23,Central Water Catchment,Google Search,Locker,SME,102.72,1,0
ENQ-03147,2025-11-17,Changi Bay,Meta Ads,Medium,Household,314.14,1,0
ENQ-03148,2025-05-10,River Valley,Google Search,Small,Household,166.49,0,0
ENQ-03149,2025-01-21,Pioneer,Google Search,Locker,E-commerce,87.94,0,0
ENQ-03150,2025-06-22,Southern Islands,Walk-in,Small,E-commerce,177.66,1,1
ENQ-03151,2025-12-17,Bishan,Organic,Locker,Household,97.91,0,0
ENQ-03152,2025-02-23,Southern Islands,Google Search,Small,SME,191.5,0,0
ENQ-03153,2025-08-17,Yishun,Organic,Medium,Household,320.3,0,0
ENQ-03154,2025-07-03,Yishun,Referral,Medium,SME,324.85,0,0
ENQ-03155,2025-07-17,Clementi,Google Search,Small,Household,202.9,0,0
ENQ-03156,2025-06-23,Changi,Google Search,Locker,Household,94.72,0,0
ENQ-03157,2025-11-16,Jurong East,Referral,Small,Student/Expats,164.69,1,0
ENQ-03158,2025-11-25,Southern Islands,Meta Ads,Medium,Household,308.5,0,0
ENQ-03159,2025-04-29,Clementi,Referral,Medium,Household,292.27,0,0
ENQ-03160,2025-05-12,Rochor,Organic,Locker,SME,86.04,0,0
ENQ-03161,2025-10-13,Bishan,Meta Ads,Small,Household,189.83,0,0
ENQ-03162,2025-06-05,Tanglin,Walk-in,Locker,Household,102.54,1,0
ENQ-03163,2025-06-03,Bukit Batok,Walk-in,Small,Household,193.74,1,0
ENQ-03164,2025-03-26,Bedok,Organic,Large,SME,458.37,1,0
ENQ-03165,2025-10-28,Kallang,Meta Ads,Small,SME,185.12,0,0
ENQ-03166,2025-10-26,Central Water Catchment,Google Search,Locker,SME,97.62,0,0
ENQ-03167,2025-08-23,Jurong West,Meta Ads,Small,SME,185.25,1,1
ENQ-03168,2025-12-12,Orchard,Partner,Small,E-commerce,188.17,0,0
ENQ-03169,2025-11-28,Tuas,Partner,Medium,Household,332.35,0,0
ENQ-03170,2025-03-18,Ang Mo Kio,Organic,Small,Household,162.01,0,0
ENQ-03171,2025-05-05,River Valley,Walk-in,Locker,Household,94.88,0,0
ENQ-03172,2025-05-22,Choa Chu Kang,Organic,Medium,Household,310.71,0,0
ENQ-03173,2025-09-25,Mandai,Meta Ads,Locker,SME,86.6,0,0
ENQ-03174,2025-08-27,Serangoon,Referral,Small,Household,204.74,0,0
ENQ-03175,2025-11-21,Bukit Panjang,Google Search,Medium,SME,307.01,0,1
ENQ-03176,2025-06-03,Straits View,Google Search,Small,Relocation,194.96,1,0
ENQ-03177,2025-11-04,Mandai,Partner,Medium,E-commerce,304.04,0,0
ENQ-03178,2025-12-23,Bukit Timah,Meta Ads,Locker,Household,81.96,0,0
ENQ-03179,2025-06-18,Jurong East,Google Search,Medium,E-commerce,272.3,0,0
ENQ-03180,2025-11-17,Bedok,Walk-in,Small,Relocation,197.05,1,0
ENQ-03181,2025-01-27,Tampines,Google Search,Locker,E-commerce,97.33,0,0
ENQ-03182,2025-04-24,Tanglin,Google Search,Large,Household,417.62,0,0
ENQ-03183,2025-10-31,North-Eastern Islands,Meta Ads,Medium,Household,273.93,1,0
ENQ-03184,2025-12-17,Lim Chu Kang,Meta Ads,Locker,E-commerce,83.67,0,0
ENQ-03185,2025-08-03,Punggol,Partner,Small,Household,193.59,0,0
ENQ-03186,2025-03-16,Sengkang,Referral,Large,E-commerce,484.31,1,0
ENQ-03187,2025-01-24,Novena,Meta Ads,Medium,Student/Expats,279.09,0,0
ENQ-03188,2025-10-25,Changi Bay,Walk-in,Locker,Student/Expats,98.44,0,0
ENQ-03189,2025-09-01,Marine Parade,Meta Ads,Locker,SME,87.46,1,0
ENQ-03190,2025-11-14,Downtown Core,Meta Ads,Small,E-commerce,170.7,0,0
ENQ-03191,2025-05-06,River Valley,Organic,Small,Household,172.48,0,0
ENQ-03192,2025-08-24,Marina East,Meta Ads,Medium,Household,302.91,0,0
ENQ-03193,2025-11-28,Sembawang,Partner,Small,SME,202.42,0,0
ENQ-03194,2025-10-15,Lim Chu Kang,Organic,Large,Student/Expats,417.34,0,0
ENQ-03195,2025-02-08,Newton,Google Search,Small,Student/Expats,181.78,1,0
ENQ-03196,2025-06-09,Serangoon,Referral,Medium,E-commerce,321.52,0,1
ENQ-03197,2025-04-01,Yishun,Google Search,Small,Household,164.39,0,0
ENQ-03198,2025-12-04,Kallang,Organic,Medium,SME,313.75,0,0
ENQ-03199,2025-05-29,Marine Parade,Meta Ads,Large,SME,414.13,0,0
ENQ-03200,2025-02-18,Seletar,Organic,Small,E-commerce,192.15,0,0
ENQ-03201,2025-11-08,Toa Payoh,Partner,Small,Household,167.22,1,0
ENQ-03202,2025-04-24,Simpang,Organic,Small,Household,197.54,0,0
ENQ-03203,2025-12-09,Novena,Organic,Medium,Household,275.2,0,0
ENQ-03204,2025-11-01,Serangoon,Organic,Medium,Household,306.91,0,0
ENQ-03205,2025-11-13,Sengkang,Partner,Medium,Household,294.04,0,0
ENQ-03206,2025-02-15,Changi,Google Search,Medium,Household,318.94,1,0
ENQ-03207,2025-09-18,Yishun,Partner,Medium,Household,299.72,0,0
ENQ-03208,2025-06-04,Changi,Google Search,Small,SME,165.1,0,0
ENQ-03209,2025-08-19,Tanglin,Google Search,Medium,Household,312.75,0,0
ENQ-03210,2025-07-28,Sembawang,Meta Ads,Small,Household,172.4,0,0
ENQ-03211,2025-01-30,Marine Parade,Partner,Medium,E-commerce,329.04,0,0
ENQ-03212,2025-06-19,Pioneer,Google Search,Large,SME,439.03,0,0
ENQ-03213,2025-12-09,Southern Islands,Google Search,Large,Relocation,429.91,0,0
ENQ-03214,2025-01-26,Sungei Kadut,Meta Ads,Medium,Household,305.23,0,0
ENQ-03215,2025-09-16,Hougang,Google Search,Small,E-commerce,191.54,1,0
ENQ-03216,2025-11-07,Tampines,Walk-in,Locker,Household,88.84,0,0
ENQ-03217,2025-01-07,Tanglin,Google Search,Small,Household,181.44,1,0
ENQ-03218,2025-12-16,Bishan,Referral,Small,Household,188.55,1,0
ENQ-03219,2025-07-19,Southern Islands,Google Search,Locker,Household,99.08,0,0
ENQ-03220,2025-06-19,Tuas,Organic,Medium,E-commerce,314.3,0,0
ENQ-03221,2025-09-29,North-Eastern Islands,Walk-in,Medium,Household,311.49,0,0
ENQ-03222,2025-01-06,Marine Parade,Google Search,Medium,E-commerce,280.98,0,0
ENQ-03223,2025-06-23,Geylang,Organic,Locker,Student/Expats,97.28,0,0
ENQ-03224,2025-11-18,Marine Parade,Walk-in,Medium,Household,329.55,1,0
ENQ-03225,2025-01-22,Toa Payoh,Partner,Small,Relocation,162.32,1,0
ENQ-03226,2025-11-01,Yishun,Google Search,Medium,Household,311.19,0,0
ENQ-03227,2025-06-03,Punggol,Meta Ads,Locker,Household,100.49,0,0
ENQ-03228,2025-01-22,Jurong East,Referral,Small,Household,171.73,0,0
ENQ-03229,2025-12-06,Orchard,Partner,Medium,Household,329.99,0,0
ENQ-03230,2025-02-28,Tanglin,Walk-in,Locker,Household,91.4,0,0
ENQ-03231,2025-04-16,Kallang,Organic,Locker,Household,95.19,1,0
ENQ-03232,2025-01-21,Novena,Meta Ads,Medium,E-commerce,292.97,0,0
ENQ-03233,2025-12-11,Choa Chu Kang,Google Search,Small,SME,168.87,0,0
ENQ-03234,2025-07-17,Simpang,Referral,Small,Student/Expats,188.39,0,0
ENQ-03235,2025-12-30,Punggol,Walk-in,Small,Household,206.24,1,1
ENQ-03236,2025-03-31,Bukit Timah,Partner,Small,Household,202.48,0,0
ENQ-03237,2025-05-29,Sengkang,Google Search,Locker,SME,89.83,0,0
ENQ-03238,2025-03-04,Singapore River,Organic,Medium,Student/Expats,305.75,0,0
ENQ-03239,2025-12-14,North-Eastern Islands,Meta Ads,Medium,SME,296.85,1,0
ENQ-03240,2025-12-15,Jurong West,Walk-in,Small,Student/Expats,182.41,0,0
ENQ-03241,2025-03-27,River Valley,Google Search,Large,SME,475.13,0,0
ENQ-03242,2025-04-19,Woodlands,Organic,Locker,Household,82.39,0,0
ENQ-03243,2025-03-30,Southern Islands,Referral,Locker,Household,85.26,0,1
ENQ-03244,2025-06-22,Straits View,Google Search,Large,Household,448.83,0,0
ENQ-03245,2025-09-10,Rochor,Google Search,Medium,Student/Expats,272.67,0,0
ENQ-03246,2025-05-22,Kallang,Google Search,Medium,E-commerce,306.28,1,0
ENQ-03247,2025-12-08,Tanglin,Google Search,Medium,SME,332.79,0,0
ENQ-03248,2025-09-13,Bedok,Organic,Medium,Student/Expats,316.77,1,0
ENQ-03249,2025-01-26,Simpang,Google Search,Small,Student/Expats,181.79,0,0
ENQ-03250,2025-09-23,Toa Payoh,Meta Ads,Small,SME,196.81,0,0
ENQ-03251,2025-11-03,Clementi,Walk-in,Large,Household,505.66,0,0
ENQ-03252,2025-01-16,Sengkang,Walk-in,Medium,Household,304.28,0,0
ENQ-03253,2025-10-08,Sungei Kadut,Walk-in,Medium,Household,294.78,0,0
ENQ-03254,2025-10-16,Tuas,Meta Ads,Small,SME,186.48,0,0
ENQ-03255,2025-09-04,Jurong West,Google Search,Small,Household,202.72,0,1
ENQ-03256,2025-04-21,Bedok,Google Search,Locker,Household,102.8,0,0
ENQ-03257,2025-04-24,Marine Parade,Google Search,Small,E-commerce,181.88,0,0
ENQ-03258,2025-03-23,Jurong East,Referral,Medium,Household,298.78,0,0
ENQ-03259,2025-01-10,Pasir Ris,Referral,Small,E-commerce,206.72,0,0
ENQ-03260,2025-05-28,Bukit Merah,Meta Ads,Small,Relocation,177.0,0,0
ENQ-03261,2025-11-10,Sungei Kadut,Meta Ads,Small,Household,170.06,0,0
ENQ-03262,2025-06-16,North-Eastern Islands,Referral,Medium,Household,331.0,0,0
ENQ-03263,2025-01-19,Sengkang,Google Search,Medium,Household,317.47,0,0
ENQ-03264,2025-02-27,Boon Lay,Google Search,Small,Student/Expats,200.87,0,0
ENQ-03265,2025-05-22,Ang Mo Kio,Organic,Locker,Household,99.48,0,0
ENQ-03266,2025-08-28,Lim Chu Kang,Organic,Small,E-commerce,182.86,0,0
ENQ-03267,2025-07-09,Pioneer,Meta Ads,Locker,SME,83.15,0,0
ENQ-03268,2025-02-08,Changi Bay,Organic,Small,Household,192.35,1,0
ENQ-03269,2025-02-20,Geylang,Walk-in,Small,Household,200.42,0,0
ENQ-03270,2025-06-24,Bukit Panjang,Google Search,Small,Household,186.44,0,0
ENQ-03271,2025-10-09,Bukit Batok,Meta Ads,Small,Household,177.86,0,0
ENQ-03272,2025-01-13,Clementi,Google Search,Small,SME,178.34,0,0
ENQ-03273,2025-06-10,Geylang,Partner,Small,Student/Expats,162.07,0,0
ENQ-03274,2025-11-12,Bukit Merah,Organic,Medium,Relocation,321.02,0,0
ENQ-03275,2025-07-03,Tampines,Partner,Locker,Household,89.78,0,1
ENQ-03276,2025-02-08,Museum,Organic,Medium,Household,302.29,0,0
ENQ-03277,2025-12-10,Changi Bay,Google Search,Medium,Student/Expats,282.78,1,0
ENQ-03278,2025-08-13,Bishan,Google Search,Small,Household,177.93,1,0
ENQ-03279,2025-07-11,Boon Lay,Meta Ads,Medium,Household,292.78,0,0
ENQ-03280,2025-02-19,Bishan,Walk-in,Small,Household,189.16,1,0
ENQ-03281,2025-05-05,Geylang,Meta Ads,Locker,E-commerce,82.84,0,0
ENQ-03282,2025-04-15,North-Eastern Islands,Meta Ads,Medium,Household,265.56,0,0
ENQ-03283,2025-07-03,Tengah,Partner,Medium,SME,324.75,0,0
ENQ-03284,2025-11-10,Bukit Batok,Meta Ads,Small,Student/Expats,186.03,1,0
ENQ-03285,2025-06-16,Pasir Ris,Meta Ads,Small,SME,173.99,0,0
ENQ-03286,2025-01-30,Kallang,Google Search,Medium,Household,269.66,1,0
ENQ-03287,2025-04-05,Marine Parade,Google Search,Small,Relocation,203.71,1,0
ENQ-03288,2025-04-19,North-Eastern Islands,Organic,Large,Student/Expats,414.52,0,0
ENQ-03289,2025-02-22,Toa Payoh,Meta Ads,Medium,Household,321.9,0,0
ENQ-03290,2025-05-05,Seletar,Google Search,Locker,Household,84.86,1,0
ENQ-03291,2025-06-17,Tengah,Referral,Small,Household,165.32,1,0
ENQ-03292,2025-11-05,Yishun,Google Search,Medium,SME,295.17,0,0
ENQ-03293,2025-05-17,North-Eastern Islands,Referral,Medium,Relocation,276.58,0,0
ENQ-03294,2025-03-20,North-Eastern Islands,Google Search,Small,Household,189.11,1,0
ENQ-03295,2025-08-11,Pasir Ris,Walk-in,Large,E-commerce,481.04,0,0
ENQ-03296,2025-12-20,Geylang,Organic,Locker,Household,96.2,0,0
ENQ-03297,2025-08-10,Punggol,Walk-in,Medium,Household,268.05,0,0
ENQ-03298,2025-04-30,Hougang,Google Search,Large,SME,417.32,0,0
ENQ-03299,2025-09-25,Geylang,Google Search,Small,E-commerce,200.11,0,0
ENQ-03300,2025-09-27,River Valley,Walk-in,Medium,Student/Expats,304.9,0,1
ENQ-03301,2025-12-08,Pioneer,Google Search,Locker,SME,102.16,1,0
ENQ-03302,2025-01-13,Downtown Core,Google Search,Small,Relocation,204.25,0,0
ENQ-03303,2025-04-07,Tuas,Google Search,Small,E-commerce,187.31,0,0
ENQ-03304,2025-03-30,Bukit Timah,Organic,Locker,Household,100.2,0,1
ENQ-03305,2025-09-09,Bishan,Google Search,Small,Household,195.74,0,0
ENQ-03306,2025-11-24,Choa Chu Kang,Meta Ads,Medium,E-commerce,296.24,0,0
ENQ-03307,2025-06-27,Central Water Catchment,Google Search,Large,Household,466.47,1,0
ENQ-03308,2025-04-04,Downtown Core,Walk-in,Medium,Household,304.63,1,0
ENQ-03309,2025-10-12,Central Water Catchment,Walk-in,Locker,SME,81.22,0,0
ENQ-03310,2025-06-25,Newton,Meta Ads,Medium,Household,261.32,0,0
ENQ-03311,2025-01-24,Pioneer,Walk-in,Small,Student/Expats,201.32,0,0
ENQ-03312,2025-06-30,Simpang,Referral,Small,Household,204.58,0,0
ENQ-03313,2025-04-28,Lim Chu Kang,Google Search,Small,Relocation,202.13,0,0
ENQ-03314,2025-10-13,Marina East,Google Search,Medium,Household,276.93,0,0
ENQ-03315,2025-09-06,Jurong West,Meta Ads,Small,SME,204.7,0,0
ENQ-03316,2025-09-28,Boon Lay,Partner,Small,Relocation,180.63,0,0
ENQ-03317,2025-03-06,Sungei Kadut,Meta Ads,Medium,Student/Expats,277.61,0,0
ENQ-03318,2025-07-16,Tanglin,Organic,Small,Household,190.04,0,0
ENQ-03319,2025-08-15,River Valley,Meta Ads,Small,E-commerce,182.94,0,0
ENQ-03320,2025-09-03,Seletar,Referral,Small,Household,167.59,0,0
ENQ-03321,2025-09-22,Bukit Panjang,Google Search,Small,Relocation,171.36,0,0
ENQ-03322,2025-01-26,Pasir Ris,Organic,Locker,Household,102.86,0,0
ENQ-03323,2025-08-26,Bukit Merah,Partner,Locker,Household,82.63,1,0
ENQ-03324,2025-08-19,Downtown Core,Meta Ads,Small,Household,190.81,0,0
ENQ-03325,2025-01-16,Geylang,Meta Ads,Small,Household,176.82,0,0
ENQ-03326,2025-12-29,Bukit Merah,Referral,Small,Relocation,190.59,0,0
ENQ-03327,2025-12-16,Jurong West,Google Search,Medium,Relocation,290.76,1,0
ENQ-03328,2025-06-02,Western Water Catchment,Organic,Small,Household,187.67,0,0
ENQ-03329,2025-07-20,Choa Chu Kang,Meta Ads,Large,SME,419.68,0,0
ENQ-03330,2025-05-17,Marina East,Meta Ads,Small,Household,165.63,0,0
ENQ-03331,2025-02-02,Orchard,Google Search,Large,Student/Expats,446.86,0,0
ENQ-03332,2025-04-28,Bukit Panjang,Referral,Medium,Household,301.06,0,0
ENQ-03333,2025-05-30,Ang Mo Kio,Meta Ads,Locker,Household,98.35,0,0
ENQ-03334,2025-09-07,Novena,Partner,Small,E-commerce,171.26,0,0
ENQ-03335,2025-03-15,Sembawang,Referral,Small,SME,182.74,0,0
ENQ-03336,2025-02-04,Simpang,Meta Ads,Locker,SME,91.3,0,0
ENQ-03337,2025-04-16,North-Eastern Islands,Referral,Medium,Student/Expats,274.49,1,0
ENQ-03338,2025-06-04,Mandai,Organic,Locker,Household,82.45,1,0
ENQ-03339,2025-10-28,Woodlands,Walk-in,Locker,Household,82.88,0,0
ENQ-03340,2025-08-03,Marina East,Walk-in,Large,Household,463.71,0,0
ENQ-03341,2025-05-19,Marina South,Meta Ads,Small,SME,169.81,0,0
ENQ-03342,2025-11-14,Bishan,Walk-in,Small,SME,192.36,0,0
ENQ-03343,2025-11-29,Woodlands,Organic,Locker,SME,85.96,0,0
ENQ-03344,2025-07-18,Marine Parade,Meta Ads,Medium,E-commerce,332.43,0,0
ENQ-03345,2025-05-11,Southern Islands,Meta Ads,Medium,Household,320.27,0,0
ENQ-03346,2025-12-26,Marina South,Meta Ads,Medium,SME,264.24,0,0
ENQ-03347,2025-05-12,Seletar,Organic,Small,Household,187.31,0,0
ENQ-03348,2025-12-28,Punggol,Referral,Medium,Household,330.13,0,0
ENQ-03349,2025-12-06,Changi,Google Search,Small,SME,193.31,0,0
ENQ-03350,2025-11-15,Sungei Kadut,Partner,Large,Household,417.83,0,0
ENQ-03351,2025-10-02,Hougang,Google Search,Small,E-commerce,203.59,0,0
ENQ-03352,2025-12-14,Queenstown,Partner,Small,SME,189.28,0,0
ENQ-03353,2025-02-11,Lim Chu Kang,Google Search,Medium,E-commerce,303.8,0,0
ENQ-03354,2025-11-21,Lim Chu Kang,Partner,Small,Household,183.22,0,0
ENQ-03355,2025-07-22,Bukit Panjang,Meta Ads,Large,Household,495.44,1,0
ENQ-03356,2025-12-30,Simpang,Referral,Medium,Household,279.36,1,0
ENQ-03357,2025-09-08,Serangoon,Walk-in,Medium,Relocation,296.66,0,0
ENQ-03358,2025-07-05,Newton,Referral,Small,SME,175.97,0,0
ENQ-03359,2025-09-01,Museum,Walk-in,Medium,Household,275.45,0,0
ENQ-03360,2025-05-21,Rochor,Meta Ads,Locker,Household,85.81,0,0
ENQ-03361,2025-07-12,Sembawang,Organic,Small,SME,167.79,0,0
ENQ-03362,2025-01-25,Jurong West,Google Search,Medium,Household,284.52,1,1
ENQ-03363,2025-10-03,Boon Lay,Meta Ads,Medium,Household,264.46,1,0
ENQ-03364,2025-12-25,Changi,Google Search,Medium,Household,307.69,0,0
ENQ-03365,2025-04-13,Serangoon,Organic,Small,Household,177.78,1,1
ENQ-03366,2025-08-19,Rochor,Walk-in,Medium,Household,280.29,0,0
ENQ-03367,2025-11-27,Southern Islands,Google Search,Medium,Household,307.44,0,0
ENQ-03368,2025-03-23,Queenstown,Google Search,Small,Household,162.27,1,0
ENQ-03369,2025-05-17,Yishun,Meta Ads,Medium,Household,290.35,0,0
ENQ-03370,2025-05-18,Seletar,Partner,Small,Household,181.13,0,0
ENQ-03371,2025-09-15,Downtown Core,Organic,Locker,Household,88.42,0,0
ENQ-03372,2025-07-12,Kallang,Partner,Small,E-commerce,191.41,0,0
ENQ-03373,2025-12-02,Singapore River,Partner,Small,Household,206.92,1,0
ENQ-03374,2025-08-24,Jurong West,Walk-in,Medium,SME,269.26,0,0
ENQ-03375,2025-08-02,Choa Chu Kang,Meta Ads,Large,E-commerce,475.3,0,0
ENQ-03376,2025-02-14,Singapore River,Google Search,Medium,Household,269.55,0,0
ENQ-03377,2025-04-22,Tanglin,Google Search,Small,Relocation,166.26,1,0
ENQ-03378,2025-12-29,Bedok,Walk-in,Small,Household,181.15,0,0
ENQ-03379,2025-12-28,Jurong East,Referral,Medium,Student/Expats,295.42,0,0
ENQ-03380,2025-05-24,Marina East,Meta Ads,Small,E-commerce,170.73,0,0
ENQ-03381,2025-02-21,Jurong East,Organic,Small,Household,185.07,0,0
ENQ-03382,2025-01-07,Sengkang,Google Search,Locker,SME,91.12,0,0
ENQ-03383,2025-04-24,Jurong East,Referral,Medium,Relocation,299.99,1,0
ENQ-03384,2025-05-14,Newton,Referral,Medium,Household,279.49,0,0
ENQ-03385,2025-11-26,Tuas,Google Search,Large,E-commerce,471.95,0,0
ENQ-03386,2025-12-23,Outram,Meta Ads,Medium,SME,320.11,0,0
ENQ-03387,2025-07-06,Outram,Google Search,Large,Household,432.02,0,0
ENQ-03388,2025-07-22,Tuas,Organic,Large,E-commerce,431.97,1,0
ENQ-03389,2025-01-06,Singapore River,Walk-in,Small,SME,185.34,0,1
ENQ-03390,2025-10-04,Tuas,Organic,Medium,SME,299.97,0,0
ENQ-03391,2025-10-10,Lim Chu Kang,Google Search,Small,Household,169.19,1,0
ENQ-03392,2025-03-03,Punggol,Meta Ads,Small,Household,164.26,0,0
ENQ-03393,2025-04-11,North-Eastern Islands,Google Search,Medium,Household,273.17,1,0
ENQ-03394,2025-10-27,Mandai,Referral,Medium,Household,279.67,0,0
ENQ-03395,2025-03-08,Punggol,Google Search,Medium,Student/Expats,326.07,1,0
ENQ-03396,2025-09-30,Jurong East,Walk-in,Locker,E-commerce,85.08,0,0
ENQ-03397,2025-02-07,Serangoon,Google Search,Small,Student/Expats,183.04,0,0
ENQ-03398,2025-02-10,Mandai,Walk-in,Small,SME,162.45,0,0
ENQ-03399,2025-02-19,Marina South,Google Search,Small,Household,202.38,1,0
ENQ-03400,2025-12-03,Woodlands,Referral,Locker,SME,93.91,0,0
ENQ-03401,2025-12-25,Newton,Google Search,Medium,Student/Expats,282.82,0,0
ENQ-03402,2025-03-01,Rochor,Walk-in,Small,Relocation,200.94,0,0
ENQ-03403,2025-02-24,Kallang,Organic,Small,E-commerce,177.47,0,0
ENQ-03404,2025-08-02,North-Eastern Islands,Google Search,Small,E-commerce,197.43,0,0
ENQ-03405,2025-04-07,Marina South,Organic,Medium,Household,310.24,0,1
ENQ-03406,2025-12-30,Rochor,Google Search,Large,Student/Expats,474.9,1,0
ENQ-03407,2025-06-04,Changi,Walk-in,Large,Relocation,437.48,1,0
ENQ-03408,2025-02-23,Geylang,Meta Ads,Small,Household,182.15,0,0
ENQ-03409,2025-03-02,Western Water Catchment,Meta Ads,Small,Relocation,204.89,0,0
ENQ-03410,2025-01-25,Jurong West,Meta Ads,Small,Household,165.81,0,0
ENQ-03411,2025-03-15,Sungei Kadut,Referral,Locker,SME,88.28,0,0
ENQ-03412,2025-07-08,Tengah,Meta Ads,Locker,Household,90.51,0,0
ENQ-03413,2025-10-05,Queenstown,Google Search,Medium,SME,332.12,0,0
ENQ-03414,2025-06-08,Museum,Walk-in,Medium,Household,333.49,0,0
ENQ-03415,2025-10-03,Clementi,Organic,Locker,E-commerce,93.83,0,0
ENQ-03416,2025-12-17,Ang Mo Kio,Organic,Medium,Household,292.39,1,0
ENQ-03417,2025-07-05,Kallang,Walk-in,Locker,Household,94.34,0,0
ENQ-03418,2025-07-16,Bukit Timah,Organic,Locker,Student/Expats,99.86,0,0
ENQ-03419,2025-07-31,Bukit Merah,Walk-in,Small,SME,202.1,0,0
ENQ-03420,2025-02-21,Woodlands,Referral,Small,Household,167.62,0,0
ENQ-03421,2025-05-26,Sungei Kadut,Walk-in,Small,SME,171.94,0,0
ENQ-03422,2025-06-18,Sengkang,Google Search,Medium,SME,306.01,0,0
ENQ-03423,2025-03-12,Choa Chu Kang,Meta Ads,Small,Relocation,195.05,0,0
ENQ-03424,2025-12-21,Queenstown,Partner,Locker,Household,93.89,0,0
ENQ-03425,2025-07-07,Central Water Catchment,Meta Ads,Small,SME,195.39,0,0
ENQ-03426,2025-09-26,Choa Chu Kang,Walk-in,Small,Household,164.96,0,0
ENQ-03427,2025-10-10,Bukit Timah,Organic,Small,E-commerce,175.46,0,0
ENQ-03428,2025-02-21,Bukit Merah,Google Search,Large,SME,441.57,0,0
ENQ-03429,2025-11-04,Pasir Ris,Google Search,Medium,Household,332.67,1,0
ENQ-03430,2025-12-21,Southern Islands,Google Search,Small,Student/Expats,177.94,0,0
ENQ-03431,2025-09-13,Changi Bay,Google Search,Medium,Household,296.62,0,0
ENQ-03432,2025-11-10,North-Eastern Islands,Google Search,Locker,SME,82.42,0,0
ENQ-03433,2025-01-22,Ang Mo Kio,Google Search,Medium,SME,298.14,0,0
ENQ-03434,2025-07-02,Straits View,Google Search,Medium,SME,267.57,1,0
ENQ-03435,2025-06-04,Punggol,Walk-in,Small,Household,189.54,0,0
ENQ-03436,2025-12-05,Jurong West,Google Search,Small,Student/Expats,166.1,0,0
ENQ-03437,2025-05-20,Tuas,Meta Ads,Locker,Household,89.68,0,0
ENQ-03438,2025-08-18,Yishun,Google Search,Small,SME,181.43,0,0
ENQ-03439,2025-04-16,Tengah,Organic,Small,Household,206.05,0,0
ENQ-03440,2025-12-09,Tampines,Organic,Locker,SME,84.31,0,0
ENQ-03441,2025-06-15,Central Water Catchment,Google Search,Medium,Household,328.14,0,0
ENQ-03442,2025-01-28,Newton,Referral,Small,Student/Expats,166.03,0,0
ENQ-03443,2025-08-02,Tuas,Walk-in,Small,Household,195.36,1,0
ENQ-03444,2025-08-09,Tampines,Organic,Medium,Household,269.85,0,0
ENQ-03445,2025-07-17,Marina South,Partner,Medium,Household,283.83,0,0
ENQ-03446,2025-07-17,Sembawang,Meta Ads,Medium,E-commerce,328.18,0,0
ENQ-03447,2025-11-12,Western Water Catchment,Google Search,Medium,Relocation,307.68,0,0
ENQ-03448,2025-10-10,Pioneer,Referral,Locker,Household,101.67,0,0
ENQ-03449,2025-12-06,Marine Parade,Meta Ads,Small,Household,172.02,1,0
ENQ-03450,2025-03-12,Rochor,Google Search,Medium,E-commerce,292.04,0,0
ENQ-03451,2025-04-24,Punggol,Google Search,Large,Household,424.83,0,0
ENQ-03452,2025-10-11,Punggol,Partner,Locker,SME,86.96,0,0
